Addon name,Category,Author,License,Help,Requirements / Dependencies,Incompatible with,Attribute,Notes
ebay_store,Third Party Integration,Kamen Blaginov,Licensed on the same terms as ocPortal,"Adds a block advertising items for sale by an eBay seller or from an eBay store. It is more suitable to be used as a main block because if it placed on a panel the block size is too small and it is hard to be navigated inside of it. The block dimensions width/height could also be adjusted (to fit better on the block area). 'type' will be either ""seller"" or ""store"" -- 'seller' will be the seller or store ID -- 'query' (only works for stores) will display results from a particular search query",recommend,,,
facebook_support,Third Party Integration,Kamen / Naveen / Chris,Licensed on the same terms as ocPortal,"This addon provides substantial Facebook integration for your ocPortal website.

Features:
 - User's can log in to your site using their Facebook profile (for OCF-sites only)
 - New Facebook Friends block (allows users to like your site and shows those that have)
 - New Facebook Site activity feed block
 - New Facebook Facepile block (shows people who like your site or have signed in using Facebook)
 - New Facebook 'Like button' block (linked into the main_screen_actions block by default)
 - New Facebook Comments block

For this addon to work you need to configure ocPortal's Facebook configuration settings, which includes getting a Facebook app ID.

Please be aware that this addon overrides some common templates to add Facebook functionality to them, such as [tt]LOGIN_SCREEN.tpl[/tt] and [tt]BLOCK_SIDE_PERSONAL_STATS_NO.tpl[/tt].

To use the Facebook login support your Facebook app needs to be told the domain name you are using. This is for security reasons and because it saves login cookies to this domain. It can't be a domain like 'localhost' or 'mycomputer', so if you are testing on a local computer you will need to create an imaginary domain name and link it into 127.0.0.1 via your computers 'hosts' file.

[title=""2""]How to use the Facebook friends block[/title]

The Facebook friends block adds a list of your facebook fans to your website.
Example Comcode to use it:
[code=""Comcode""][block stream=""1"" fans=""10"" logobar=""1"" param=""80430912569"" show_fanpage_link=""1"" fanpage_name=""ocPortal Fans""]main_facebook_friends[/block][/code]

'stream' is either ""1"" or ""0"" -- 1 is you would like the stream to display, 0 means you don't.

'fans' is the number of fans you want the block to display.

'show_fanpage_link' is either ""1"" or ""0"" -- 1 is you would like to display a link to the fan page, 0 means you don't.

'fanpage_name' is the name you want to display on the link to the page.

'logobar' is either ""1"" or ""0"" -- 1 is you would like to display a facebook logo on within the block, 0 means you don't.

[title=""2""]License[/title]

Licensed on the same terms as ocPortal",,,Icon by leslienayibe. Class by Facebook Inc.,
gallery_carousel,Graphical,Chris Graham,Licensed on the same terms as ocPortal,Replaces templates to that the main_gallery_embed block uses a carousel to display content.,,,,
geshi,Information Display,Chris Graham,GPL,"GeSHi applies syntax highlighting to a block of coding which is pasted inside the Comcode 'code' tag as follows:
[code=""Comcode""][codebox=""<language>""]<the code goes here>[/codebox][/code]",,,The Authors of GeSHi,
getid3,Admin Utilities,Chris Graham,GPL,"This addon will automatically detect the Height, Width and Length of video files when they are uploaded to the gallery.",galleries,,"James Heinrich, Allan Hansen",
google_search,New Features,Kamen Blaginov,Licensed on the same terms as ocPortal,"This addon consists of two blocks: a side block with the google search form and a main block, where google results are displayed. When you install this addon it will create a standard results page called _google_search; this page can be edited or customised in the same way as any other page. In addition you can create your own page or put a main_google_results block on an existing page. When you add the side_google_search block you can choose a page_name parameter, but it is only needed if you are sending the results to a non-default page you have added the google results block on. [code=""Comcode""][block]side_google_search[/block][/code]Note that it is a requirement that your _google_search page is in a zone where the side search block displays, as these two interface together once a search is initiated.",,,,
google_similar_sites,Information Display,Kamen Blaginov,Licensed on the same terms as ocPortal,"This block will display sites which are similar to a specified URL which you put in the parameter box. Example:
[code=""Comcode""][block criteria=""http://www.ocportal.com"" max=""5""]side_similar_sites[/block][/code]",PHP 5.2,,,
google_translate,Translation,Chris Graham,Licensed on the same terms as ocPortal,"This is the ocPortal plugin for Google Translate. By adding [code=""Comcode""][block]side_language[/block][/code] to a side panel of your website, you will give your users the option to translate the content of your website into another language by using Google Translate. Note that Google Translate is a paid API, so you will need to set it up as such -- enable the API in the Google Developers console, add a key (API * auth, Credentials, Create New Key), set up quote/billing for it, and then go and configure in ocPortal (Admin Zone > Setup > Configuration > Feature options > Google Translate). At first things will be extremely slow while the gtranslate_cache table fills up with translations for all ocPortal's language strings (you should let it run, even if it takes half an hour), but then things will speed up. This addon is intended for users serious about translation, to give a bootstrap to getting it done. If you merely want dynamic on-the-fly translation, it's best just to embed Google's standard Translate widget into your site somewhere.",,,,
group_points,New Features,Chris Graham,Licensed on the same terms as ocPortal,Gives people points for being in a usergroup.,,,,
java_uploader_ftp_source_code,Admin Utilities,Chris Graham,Based on open code posted without a license,"This is a modified version of the third-party Open Source HTML Large File Uploader code. It has been improved quite significantly to integrate very seamlessly with ocPortal. This code is included so people can modify it themselves also -- but mainly because it is needed in order to generate a signed certificate, so users can see that it is your domain that is certifying the applet as safe.",,,Richard Johnson,
justgiving,Third Party Integration,Kamen Blaginov,Licensed on the same terms as ocPortal,"Display a current amount which has been collected and a link to donate via JustGiving.com. To use this addon you will need your eggid from your justgiving account page. To find this:
1) Log into your account and click ""Your pages""
2) Click the page you want to add the banner for
3) Click use our widget, this will show you some code that looks like: [code]<object type=""application/x-shockwave-flash"" allowScriptAccess=""always"" height=""230"" width=""150"" align=""middle"" data=""http://www.justgiving.com/widgets/jgwidget.swf"" flashvars=""EggId=2306991&IsMS=0""><param name=""movie"" value=""http://www.justgiving.com/widgets/jgwidget.swf"" /><param name=""allowScriptAccess"" value=""always"" /><param name=""allowNetworking"" value=""all"" /><param name=""quality"" value=""high"" /><param name=""wmode"" value=""transparent"" /><param name=""flashvars"" value=""EggId=2306991&IsMS=0"" /></object>[/code]
4) You need the text after where it says [tt]Eggid=[/tt] and before the [tt]""[/tt], so in the example above the eggid code would be [tt]2306991&IsMS=0[/tt]
5) Paste this into where the creation assistant asks for the code or use as the example below shows: [code=""Comcode""][block eggid=""2306991&IsMS=0""]side_justgiving_donate[/block][/code]",,,,
lastfm,Third Party Integration,Kamen Blaginov,Licensed on the same terms as ocPortal,"Adds a top LastFM playlist on a panel. This displays top artists, top albums or top tracks. Block parameters are someone's LastFM username, top rank list period of time (3, 6 or 12 months), and what chart to be displayed (artists, albums or tracks chart). Example addon usage: [code=""Comcode""][block username=""Sjarvis78"" period=""3"" display=""artists""]side_last_fm[/block][/code]
You will need your Username for Last FM, and you will need to decide how long you want the block to check back, ""3"", ""6"",""12"" months . Also you will need to decide whether you want to show favourite ""artists"", ""albums"" or ""tracks"". The example code will look something like: [code=""Comcode""][block username=""Sjarvis78"" period=""12"" display=""albums"" height=""300px""]side_last_fm[/block][/code]
Period is just the number of the chosen months ""3"", ""6"" or ""12"" and the display is ""artists"", ""albums"" or ""tracks"". You can also specify the height and width as above.",,,,
locations,Development,Chris Graham,Licensed on the same terms as ocPortal,"Locations API, allows building out tree catalogues with all the world cities.",,,,
member_directory_boxes,Graphical,Chris Graham,Licensed on the same terms as ocPortal,"Re-styles the member directory to show avatars, etc.",,,,
member_filedumps,New Features,Chris Graham,Licensed on the same terms as ocPortal,Adds a tab to member profiles to show file/media library contents in a folder corresponding to the member's username.,,,,
oc_bank,Fun and Games,Kamen Blaginov,Licensed on the same terms as ocPortal,"Members can deposit some of their hard earned points (but not the gift points) into a ""bank account"" and extract them again only after a month. The administrator can set the interest rate, that users will get with their points back at the end of the account term. To set the Interest rate go to Admin Zone > Setup > Manage point-store inventory and click ""edit your point-store configuration"" and change the interest rate to the level you would like. To deposit points go to the point store and click on the bank option and choose how much you would like to deposit for a month. The interest paid out will be at the level it was at when the points were deposited.","Cron, pointstore",,,
oc_banter,Fun and Games,Kamen Blaginov,Licensed on the same terms as ocPortal,"When you install ocBanter, it creates a Private Topic between two random members with an insult inside of it (and a brief explanation). The insult is randomly selected from a list which also includes insults-comebacks. This list is configurable in the Admin Zone under Setup (Manage insults icon). You should separate the insults from comebacks by equal sign(=) and add any new insults on a new line (the same way this is done in Random quotes section). The insulted member has to try and make the right reply, if they succeed then they will be awarded some site points which is configurable under Setup > Configuration > Points options. The default insults are based off the classic computer game, Monkey Island.","Cron, OCF",,,
oc_best_buddy,New Features,Kamen Blaginov,Licensed on the same terms as ocPortal,"This addon is so you can assign trusted members as mentors who will help new members. There will be configurable mentors usergroup, from which random member will be selected and made friend to newly joined members (it will make them buddies and also will create a Private Topic between them explaining the automatic friendship). As a bonus the mentor will get the same amount of points, which his new friend gain during the first week. To set the mentor group go to Admin Zone > Setup > Configuration > Member and forum options. At the bottom of the page choose the mentor user group from the drop down list. Go to the Usergroups display page for mentors and assign the users to the mentors usergroup. New users should then be assigned a mentor/buddy who will receive an equal amount of points the new user receives for the first week. The system will also create a private topic between the 2 members explaining what has happened.","OCF, chat",,,
oc_browser_bookmarks,Information Display,Chris Graham,Licensed on the same terms as ocPortal,"Ever wished it was quicker to navigate around your site? If you're anything like us you get tired of having to move the mouse all around screens, and wait for half a dozen page loads, to get where you're going. There is an admin menu and sitemap in ocPortal, but that's still not as fast as a native desktop interface. Coming to the rescue is this simple addon that will export your whole sitemap to your web browsers bookmarks, so you can easily access anything on it. All you need to do is:
1) install the addon
2) call up /adminzone/?page=admin_generate_bookmarks
3) save the HTML file to your desktop
4) tell your web browser to import the HTML file as bookmarks/favorites (it's a Netscape/Mozilla/Firefox format bookmarks file)
5) And that's it- you'll be able to access all your links from a submenu of your regular browser bookmarks. (Note that there is no magic syncing here, so you might want to delete and reimport from time to time.)",,,,
oc_challenge,Fun and Games,Chris Graham,Licensed on the same terms as ocPortal,"ocChallenge changes the quiz module to cost half of the total amount of winnings to enter, in the terms of a test the user will only receive the winnings back if they achieve the required score.",quizzes,,,
oc_data_map,Information Display,Kamen Blaginov / Chris Graham / temp1024,Licensed on the same terms as ocPortal,"This is a main block, that shows a different catalogue entries locations longitude/latitude values (the names of the fields to take longitude/latitude from are configured inside block parameters). The different catalogue entries are shown as pins on a Google map. Clicking on the pin shows the catalogue entry in a little box (as a link to the entry). Example: [code=""Comcode""][block title=""store locater"" description=""This is a Store Locater"" latfield=""lat"" longfield=""long"" catalogue=""stores"" width=""100%"" height=""300px"" zoom=""6"" latitude=""24.2135"" longitude=""-1.4654""]main_google_map[/block][/code]
You will need to create a catalogue with at least 1 entry which has the latitude and longitude fields filled in. You can call the fields in the catalogue latitude and longitude field anything you like and you can find the coordinates by using the option in Google Maps Labs or via http://itouchmap.com/latlong.html. When you add the block you see various block parameters to be filled in including: Title -- The Name of the block which will appear on screen (for example, Store Locater). Description -- a Description of the block. Latfield -- This is the field you chose in the catalogue which has all the latitude coordinates in it. Longfield -- This is the field you chose in the catalogue which has all the longitude coordinates in it. Catalogue -- This is the name of the catalogue you chose and want to display the pins for. Width -- Defaults to 100% of the column. Height -- Defaults to 300px but can be set to how ever many pixels(px) you need it to be. Zoom -- A number between 1 and 17, the higher the number the more zoomed in the map will start at. Latitude -- The Latitude coordinates where you want the centre of the map to be when first loaded. Longtude -- The Longitude coordinates where you want the centre of the map to be when first loaded. Please Note: the preview on this block does not work.",catalogues,,,
oc_dead_people,Fun and Games,Kamen Blaginov,Licensed on the same terms as ocPortal,"This addon is designed to encourage your website users to interact more and increase their activity. You can release a number of diseases all at once or one at a time. ocDeadpeople comes configured with a number of pre-created viruses and you can add more. There are also Cures and Immunizations for the diseases which can be bought through the point store. Each disease will cause a User's points total to become sick and start going down unless they buy the cure. The cure is usually twice as much as the immunisation. If the user cannot afford the cure they will have to interact more with the site to rebuild up their points total to be able to afford to buy it. All the pre-configured diseases come unreleased and you have the opportunity to choose when they are released and how virulent they are. Users which have been infected will be sent an email with a link to the cure. Once cured, members can still be re-infected if they have not bought an Immunization. The diseases are spread via the friend lists in ocPortal. To configure the diseases goto Admin Zone > Setup > Manage Diseases.","Cron, OCF",,,
oc_for_the_win,Information Display,Kamen Blaginov,Licensed on the same terms as ocPortal,"Automatically creates 'button' banner types and banners for it and set them in a main (or side) block. Administrator could enable/disable banners, and also add custom banners. The auto-created bundled banners are for 'causes' and are: ocPortal, Firefox, W3C XHTML, W3C CSS, W3C WCAG, CancerResearch, RSPCA, PETA, Unicef, WWF, Greenpeace, HelpTheAged, NSPCC, Oxfam, BringDownIE6, CND, Amnesty International, British Heart Foundation, GNU. To Use the Block go to where you would like the block to be placed (likely either a side panel or the front page) and use the add block button. You have 3 block parameters to fill in. 'param' will be ""buttons"" as standard but you could create a different banner type and use that if you want. You only need to put something in 'extra' if its a side panel in which case you put ""side"" in there. 'max' is the maximum number of banners you want to display. An example:
[code=""Comcode""][block=""buttons"" extra=""side"" max=""5""]main_buttons[/block][/code]
If you want to delete some of the banners:
1) Go to the Banners section under Content Management
2) Click Edit Banner
3) Choose a banner you want to delete
4) Select delete at the bottom and Save
5) Repeat till only the banners you want are showing
You can add more banners through this section, just make sure they are 120px &times; 60px.",OCF,,,
oc_gift_giver,Fun and Games,Kamen Blaginov,Licensed on the same terms as ocPortal,"Provides the ability for members to purchase a wide variety of configurable gifts and to send them to other members or even to send them themselves. The gifts are configurable by the admin section -- gift title (name), gift image, gift price (in points). When a gift is sent to a member it creates a Private Topic that describes the gift. Also it places the gift in the list of gifts received by the member in the profile section. Gifts also could be sent anonymously to members. Creating new Gifts -- When creating new gifts please only use images which are free to use, we suggest http://www.openclipart.org/ which has a good selection of free to use images. Go to the set up section and click ""Manage Gifts"". Click Add Gift. Upload the image and give it a title, choose the cost to send and click save. You can edit the standard gifts or ones you have created in the same section.","OCF, pointstore",,,
oc_groupies,Information Display,Chris Graham,Licensed on the same terms as ocPortal,"ocGroupies displays a list of members with an option to limit how many members will be displayed within the list and which user group to display members from. You can get the group ID by going to Admin Zone > security > usergroups > edit user groups. An Example of the code is: [code=""Comcode""][block max=""10"" param=""2""]main_user_boxes[/block][/code]",OCF,,,
oc_icon,Graphical,Chris Graham,GPL,This is an icon pack for ocPortal. ,,,"add_group.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
add_user.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
agt_business.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
agt_family.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
amor.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
calendar.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
camera_unmount.png, Lila community, http://lila-theme.uni.cc/, GPL
chat.png, Pablo Fabregat, http://www.opentux.com.ar/lordcrow/packs/kneu.html, GPL
database.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
delete_user.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
email-1.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
email.png, David Vignoni, http://icon-king.com/?p=15, LGPL
filesave.png, Marco Martin, http://www.notmart.org/, LGPL
folder1_red.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
list, Lila community, http://lila-theme.uni.cc/, GPL
help_index.png, Alexandre Moore, http://sa-ki.deviantart.com/, GPL
history.png, Sergio Sanchez Lopez (Futurosoft), http://kde-look.org/content/show.php/Futurosoft+Icons+?content=50667, GPL
history_clear.png, Sergio Sanchez Lopez (Futurosoft), http://kde-look.org/content/show.php/Futurosoft+Icons+?content=50667, GPL
inline_image.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
news.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
knewstuff.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
money.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
new.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
news_subscribe.png, David Vignoni, http://icon-king.com/?p=15, LGPL
ooo_printeradmin.png, Alexandre Moore, http://sa-ki.deviantart.com/, GPL
password.png, Everaldo Coelho, http://www.everaldo.com/, LGPL
personal.png (and thus personal_edit.png deriative), Lila community, http://lila-theme.uni.cc/, GPL
privacy.png, Alexander Moore, http://www.gnome-look.org/content/show.php?content=32599, GPL
project_open.png (and thus project_edit.png deriative), David Vignoni, http://icon-king.com/?p=15, LGPL
random.png, Dan Leinir, http://leinir.dk/leinir/, LGPL
search.png, Alexandre Moore, http://sa-ki.deviantart.com/, LGPL
signature.png, Carles Carbonell Bernado, http://www.carlitus.net/, GPL
edit_user.png, Alexandre Moore, http://sa-ki.deviantart.com/, LGPL
webarchiver.png, Carles Carbonell Bernado, http://www.carlitus.net/, GPL
wiki.png, Dan Leinir, http://leinir.dk/leinir/, LGPL
privacy.png, Alexander Moore, http://www.gnome-look.org/content/show.php?content=32599, GPL
question.png, Lila Community, http://lila-theme.uni.cc/, GPL
evolution-contacts.png, Alexandre Moore, http://sa-ki.deviantart.com/, GPL
bookmarks_list_add.png, Dan Leinir, http://leinir.dk/leinir/, LGPL
configure_toolbars.png, Marco Martin, http://www.notmart.org/, LGPL
bookcase.png, David Vignoni, http://icon-king.com/?p=15, LGPL
knotes.png, Alexandre Moore, http://sa-ki.deviantart.com/, GPL
tool_clipboard.png, David Vignoni, http://icon-king.com/?p=15, LGPL
insert_link.png, AMAZIGH Aneglus, http://findicons.com/icon/188724/insert_link?id=191345, GPL",0
oc_jester,Fun and Games,Chris Graham,Licensed on the same terms as ocPortal,"This addon allows you to play tricks on your website members. After installing the addon you can add a number of practical jokes to one or more usergroups using their ID number which can be found under Security > User groups > Edit Usergroups. The jokes you can play are: A, String Changes -- Change some words or spellings to others. B, Emoticon Magnet -- Make the emoticons follow the cursor around the screen. C, Name Changer -- Apply a name changer for users within a usergroup. D, Avatar switch -- Make it appear to them that everyone is using their avatar and they don't have one. E, 1337 speech changer -- Make the post appear to have been written in 1337 speech to members of that user group. F, Piglatin -- Make the post appear to have been written in Piglatin to members of that user group.",OCF,,Martyr2 (for piglatin),
oc_noobs,Information Display,Chris Graham,Licensed on the same terms as ocPortal,"This addon creates a list of most recent members, You can also specify specific user groups (e.g. [tt]filter=""1-14""[/tt]) to display and you can specify how many members you wish to display (e.g. [tt]max=""6""[/tt]). [code=""Comcode""][block max=""6"" filter=""1-14""]main_recent_members[/block][/code]",OCF,,,
oc_prose,Information Display,Chris Graham,Licensed on the same terms as ocPortal,"ocProse allows you to display a block showing the posters with the longest average post length and their total number of posts. You can configure the total amount of posters to be listed using the [tt]max=""Number here""[/tt] parameter. Example: [code=""Comcode""][block max=""10""]main_best_posters[/block][/code]",OCF,,,
oc_purrrr,Fun and Games,Kamen Blaginov,Licensed on the same terms as ocPortal,This addon will populate your image of the day gallery with 40 LOLCAT images. After installing the addon select the image of the day in the usual way by going to Admin zone > Content >Images of the day and select the image you want to display.,IOTD,,,
oc_simple_sums,New Features,Chris Graham,Licensed on the same terms as ocPortal,"ocSimplesums is a little calculator block that you could use to allow users to work out for example: how much money they might make. To include it use something like this Comcode on a page: [code=""Comcode""][block message=""You could be earning as much as $xxx per year after your first year"" equation=""Math.pow((this.totalPerSale*this.numAverageSales)*this.numPerLevel,(1+this.levelsAchieved*(this.fractionPerLevel/100)))"" totalPerSale=""Commission per sale in $"" numAverageSales=""Number of sales per reseller per year"" numPerLevel=""Number of partners per reseller per year"" levelsAchieved=""The number of partner levels in a year"" fractionPerLevel=""Relative partner commission per sale in %""]main_calculator[/block][/code]
This is coded as a ""mini block"", and serves as a good example of how you can use PHP on a page. We have coded it into [tt]sources_custom/miniblocks/main_calculator.php[/tt]",,,,
oc_smiles,Graphical,Philip Withnall,Licensed on the same terms as ocPortal,ocSmiles replaces most of the main smileys which are included within ocPortal as standard.,,,,
oc_super_shout,Fun and Games,Chris Graham,Licensed on the same terms as ocPortal,"This addon adds two new features to your shout box. Shake makes all the current visitors to your website's browser screen shake. The second makes any new messages within the shout box appear like an apparition and fly towards the current users of the site.

After installing this addon your shout box will essentially be treated as an embedded copy of the chat room linked to it. Enter/leave room messages will be saved into the room when a member goes somewhere it is shown. For that reason you may want to associate it to a chat room that isn't used independently to avoid that room being cluttered with these messages (the messages don't show in the shout box itself, as they are filtered out there). Alternatively you can blank out the language strings that provide the enter/leave room messages - ocPortal will recognise this and turn the feature off.","Javascript enabled, chat",,,
oc_tag_spinner,Graphical,Chris Graham,Based on open code posted without a license,This addon converts the standard ocPortal tag cloud into a spinning tag cloud which moves and rotates as you move the mouse around the edge of the cloud.,,,Devirtuoso,
oc_thanks,Graphical,Chris Graham,Licensed on the same terms as ocPortal,"The ocThanks addon makes it easier to see the top performing members in a community. It adds a 'stars' block that ranks members on how many points they have been given in a certain category (also it changes the points module to allow selection of such categories when giving points). It also adds a block to show recent points transfers. Finally, it adds a line to member's profile screens that says how many topics they have created, and how many they have replied to, to give a reflection of whether they help more than they ask or vice-versa. Usage: [code=""Comcode""][block max=""10""]side_recent_points[/block][/code]
and
[code=""Comcode""][block=""Helpful soul""]main_stars[/block][/code]The [tt]POINTS_GIVE[/tt] ([tt]themes/default/templates_custom[/tt]) template contains hard-coded HTML that defines each kind of points category that can be used. It is likely you will want to put out one an instance of the [tt]main_stars[/tt] block for each category (using the syntax demonstrated above).",Javascript enabled,,,
oc_the_point,New Features,Chris Graham,Licensed on the same terms as ocPortal,This addon will give each person who clicks a banner 1 site point (only works with regular image banners).,banners,,,
member_comments,New Features,Chris Graham,Licensed on the same terms as ocPortal,Add a comments tab to member profiles.,OCF,,,
oc_thief,Fun and Games,Kamen Blaginov,Licensed on the same terms as ocPortal,"ocThief adds some random dynamic chaos to your website and has a number of options you can configure such as who you want points to be automatically stolen from. There are four options: A, ""Members that are inactive, but have a lot of points""; B, ""Members that are rich""; C, ""Members that are random"" (random member(-s) selection; D, ""Members that are in a certain usergroup"". You can also decide how many users/victims ocThief will steal from and how much to steal. After stealing the points from the ""unlucky"" members and giving them to ""lucky"" members it creates a Private Topics between them to explain what happened. To configure ocThief go to setup >configuration > point store options and scroll down to the ocThief options.","Cron, OCF",,,
oc_thumbs_up,Admin Utilities,Chris Graham,BSD,"ocThumbsUp allows inline attachments to get a custom-created thumbnail, via an integrated editing tool. After creating the attachment an automatic thumbnail will be generated, and then anyone with Admin Zone access gets the chance to customise it by choosing the size, cropping, and scaling.",GD,,webmotionuk,
